ticker,cross_date,cross_price,pct_below,recovered,recovery_date,recovery_price,weeks_below,min_price_during,max_drawdown_episode,episode_return,annualized_return,current_price,unrealized_return,weeks_elapsed,sector,total_crosses,cross_number,spy_episode_return,excess_episode,beat_spy,abs_depth
BAC,2016-06-04,11.13,-3.8,True,2016-07-30,12.106781959533691,8.0,10.457683563232422,-6.040578946698827,8.776118234804041,72.76991433039977,,,,Financial Services,12,4,5.419444533409656,3.356673701394385,True,3.8
BAC,2020-03-07,20.87,-4.63,True,2020-05-30,24.27897453308105,12.0,16.989229202270508,-18.594972677189716,16.334329339152156,92.63455419151585,,,,Financial Services,12,5,27.640953973141478,-11.306624633989323,False,4.63
BAC,2020-06-06,21.55,-3.95,True,2020-08-08,23.021928787231445,9.0,20.1343994140625,-6.568912231728541,6.830295996433611,46.48395251444233,,,,Financial Services,12,6,8.681687809278937,-1.8513918128453266,False,3.95
BAC,2020-08-15,21.73,-5.0,True,2020-08-29,23.082809448242188,2.0,21.73,0.0,6.225538187952995,380.7866971782189,,,,Financial Services,12,7,-3.1704115358472174,9.395949723800213,True,5.0
BAC,2020-09-05,22.33,-2.9,True,2020-11-07,23.64646339416504,9.0,20.57242584228516,-7.870909797200365,5.895492136878833,39.23118223697617,,,,Financial Services,12,8,6.43605012122932,-0.5405579843504871,False,2.9
BAC,2022-09-17,28.99,-0.17,True,2022-10-15,31.93698501586914,4.0,27.596485137939453,-4.806881207521718,10.16552264873798,252.04168362353136,,,,Financial Services,12,9,5.927683493638414,4.237839155099566,True,0.17
BAC,2022-12-10,29.14,-1.52,True,2022-12-17,29.844253540039062,1.0,29.14,0.0,2.416793205350243,246.1792382301907,,,,Financial Services,12,10,0.6862368774378291,1.7305563279124136,True,1.52
BAC,2023-03-04,28.0,-6.64,True,2023-12-09,31.84444999694824,40.0,23.666017532348636,-15.478508813040593,13.730178560529428,18.205704934889155,,,,Financial Services,12,11,22.56156718035762,-8.831388619828193,False,6.64
BAC,2025-03-29,33.63,-2.62,True,2025-04-05,35.1591911315918,1.0,33.63,0.0,4.547104167683003,909.7745235977296,,,,Financial Services,12,12,8.284309470368667,-3.7372053026856644,False,2.62
KO,2020-03-14,31.92,-12.79,True,2020-04-04,40.83882141113281,3.0,31.92,0.0,27.941169834375977,7058.886901712498,,,,Consumer Defensive,4,1,17.40028743373827,10.540882400637706,True,12.79
