ticker,cross_date,price,wma200,pct_below,return_3mo,return_6mo,return_12mo,return_24mo,max_drawdown_12mo,fcf,fcf_prior,fcf_change_pct,fcf_positive,fcf_growing,fcf_category
PM,2015-08-29,45.89,46.86,-2.05,17.54,25.29,37.74,65.89,0.0,,,,,,unknown
PM,2018-04-14,56.12,58.93,-4.77,1.46,8.42,6.03,4.18,-19.19,,,,,,unknown
PM,2018-11-10,59.13,60.05,-1.54,-1.84,3.4,4.21,-0.66,-23.31,,,,,,unknown
PM,2019-03-30,60.17,60.89,-1.18,-4.81,-5.46,-8.44,16.45,-25.2,,,,,,unknown
PM,2019-07-20,61.46,61.68,-0.34,-3.08,3.26,-4.74,28.93,-26.78,,,,,,unknown
PM,2020-01-25,60.93,62.37,-2.31,-9.8,-3.95,2.64,40.41,-26.13,,,,,,unknown
PM,2020-02-22,60.31,62.43,-3.39,-8.79,1.99,9.37,44.19,-25.38,,,,,,unknown
PM,2020-03-07,58.57,62.42,-6.18,-9.83,5.67,17.59,25.39,-23.16,,,,,,unknown
PM,2020-09-12,59.49,61.72,-3.62,12.0,17.79,37.9,36.23,-8.34,,,,,,unknown
UNH,2020-03-14,186.7,191.47,-2.49,40.97,50.36,79.73,152.18,0.0,,,,,,unknown
UNH,2024-04-06,420.43,421.43,-0.24,16.96,37.23,38.67,,0.0,25682000000.0,23404000000.0,9.7,True,True,positive_growing
UNH,2025-02-15,451.7,470.74,-4.05,-36.36,-33.34,-36.29,,-48.44,20705000000.0,25682000000.0,-19.4,True,False,positive_declining
UNH,2025-04-12,441.66,475.62,-7.14,-37.32,-20.42,,,,20705000000.0,25682000000.0,-19.4,True,False,positive_declining
MS,2016-01-09,19.46,20.75,-6.23,-0.22,9.09,72.83,121.68,-10.56,,,,,,unknown
MS,2016-07-23,21.77,21.94,-0.77,17.48,53.89,66.01,85.18,0.0,,,,,,unknown
MS,2018-12-15,30.14,31.3,-3.71,11.51,17.21,38.44,80.55,0.0,,,,,,unknown
MS,2019-08-17,32.13,32.65,-1.59,26.17,35.17,33.85,170.09,-23.49,,,,,,unknown
MS,2020-02-29,34.66,35.22,-1.59,19.42,27.97,98.82,117.77,-29.09,,,,,,unknown
MS,2023-10-14,67.44,68.13,-1.02,18.12,26.72,72.31,132.58,-3.73,-9475000000.0,,,False,,negative
GS,2016-01-09,126.15,127.69,-1.21,2.31,4.75,59.44,69.86,-8.06,,,,,,unknown
GS,2016-01-30,126.85,128.2,-1.05,1.96,4.47,56.38,70.9,-8.57,,,,,,unknown
GS,2016-04-02,122.36,130.2,-6.02,0.48,13.92,53.73,70.79,-5.22,,,,,,unknown
GS,2016-04-30,129.34,131.37,-1.54,2.46,11.63,44.79,51.86,-10.33,,,,,,unknown
GS,2016-09-17,135.53,135.65,-0.09,46.38,39.11,41.66,46.16,-2.34,,,,,,unknown
